,product_ID,product_type,product_name,size,colour,quantity,order_id,price_per_unit,stock,total_price,customer_name,gender,age,city,state,order_date,delivery_date,delivery_duration
0,1,Shirt,Oxford Cloth,S,red,53,5,96,3,288,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,2021-03-23,2021-03-24,1
1,1,Shirt,Oxford Cloth,S,red,53,231,96,1,96,Olimpia Tankus,Genderfluid,39,North Jessica,Western Australia,2021-03-20,2021-04-09,20
2,1,Shirt,Oxford Cloth,S,red,53,353,96,3,288,Ellynn Korba,Genderqueer,34,West Jonathanshire,Tasmania,2021-03-30,2021-04-05,6
3,1,Shirt,Oxford Cloth,S,red,53,644,96,2,192,Brade Caught,Genderqueer,56,Elijahburgh,Queensland,2021-03-13,2021-03-22,9
4,1,Shirt,Oxford Cloth,S,red,53,992,96,3,288,Thorsten Sowrey,Polygender,50,Port Isabelle,South Australia,2021-07-23,2021-08-14,22
5,2,Shirt,Oxford Cloth,M,red,54,1,96,3,288,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,2021-08-30,2021-09-24,25
6,2,Shirt,Oxford Cloth,M,red,54,28,96,2,192,Crin Johnikin,Polygender,66,South Clairetown,Queensland,2021-08-19,2021-09-04,16
7,2,Shirt,Oxford Cloth,M,red,54,30,96,1,96,Whitney Scarman,Female,27,Trompview,Tasmania,2021-07-07,2021-07-26,19
8,2,Shirt,Oxford Cloth,M,red,54,138,96,2,192,Binnie Gonzales,Polygender,32,Aidenton,Northern Territory,2021-02-05,2021-02-10,5
9,2,Shirt,Oxford Cloth,M,red,54,313,96,1,96,Sheff Ruoss,Non-binary,55,Laylabury,New South Wales,2021-06-02,2021-06-11,9
10,2,Shirt,Oxford Cloth,M,red,54,691,96,2,192,Jethro Pollak,Genderqueer,38,Lake Alihaven,Northern Territory,2021-04-03,2021-04-19,16
11,3,Shirt,Oxford Cloth,L,red,69,303,96,2,192,Mallissa Lawdham,Genderfluid,44,East Madison,New South Wales,2021-09-02,2021-09-11,9
12,3,Shirt,Oxford Cloth,L,red,69,555,96,1,96,Adena Venn,Polygender,53,Jordanburgh,Victoria,2021-09-03,2021-09-09,6
13,3,Shirt,Oxford Cloth,L,red,69,567,96,2,192,Nanny Franey,Agender,73,Joelland,Australian Capital Territory,2021-06-21,2021-06-23,2
14,3,Shirt,Oxford Cloth,L,red,69,667,96,1,96,Zebulen Zannotti,Genderqueer,60,Harveyside,Tasmania,2021-03-23,2021-03-28,5
15,4,Shirt,Oxford Cloth,XL,red,47,275,96,3,288,Valery Pache,Polygender,53,South Claudialand,Western Australia,2021-01-05,2021-01-15,10
16,4,Shirt,Oxford Cloth,XL,red,47,404,96,1,96,Rebecka Fabler,Polygender,32,Kohlerberg,Queensland,2021-03-03,2021-03-09,6
17,4,Shirt,Oxford Cloth,XL,red,47,566,96,3,288,Sherwynd Batsford,Polygender,45,Samuelside,New South Wales,2021-07-24,2021-08-10,17
18,4,Shirt,Oxford Cloth,XL,red,47,683,96,3,288,Silas Chaman,Genderfluid,56,Gardenport,Victoria,2021-01-01,2021-01-05,4
19,4,Shirt,Oxford Cloth,XL,red,47,698,96,3,288,Errol Berkley,Agender,74,Haleybury,Australian Capital Territory,2021-05-19,2021-06-13,25
20,4,Shirt,Oxford Cloth,XL,red,47,946,96,3,288,Wash Kyneton,Non-binary,60,Lake Sienna,Northern Territory,2021-04-20,2021-05-13,23
21,5,Shirt,Oxford Cloth,XS,orange,45,362,96,2,192,Garvy Davioud,Genderfluid,41,Hudsontown,New South Wales,2021-09-30,2021-10-07,7
22,5,Shirt,Oxford Cloth,XS,orange,45,558,96,1,96,Gerri McCarle,Female,54,Cameronport,South Australia,2021-03-02,2021-03-18,16
23,6,Shirt,Oxford Cloth,S,orange,72,3,96,2,192,Ellynn Korba,Genderqueer,34,West Jonathanshire,Tasmania,2021-10-08,2021-11-03,26
24,6,Shirt,Oxford Cloth,S,orange,72,335,96,1,96,Gayleen Brookes,Male,46,Port Lily,Australian Capital Territory,2021-09-30,2021-10-24,24
25,6,Shirt,Oxford Cloth,S,orange,72,358,96,2,192,Perry McAless,Polygender,26,New Leah,Queensland,2021-04-07,2021-04-12,5
26,6,Shirt,Oxford Cloth,S,orange,72,432,96,1,96,Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,2021-10-20,2021-11-03,14
27,6,Shirt,Oxford Cloth,S,orange,72,875,96,1,96,Nathanil Runchman,Non-binary,23,South Hannahstad,Victoria,2021-02-26,2021-02-27,1
28,7,Shirt,Oxford Cloth,M,orange,77,16,96,3,288,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,2021-07-07,2021-07-08,1
29,7,Shirt,Oxford Cloth,M,orange,77,21,96,1,96,Pate De Ambrosis,Non-binary,54,Donnellyfort,New South Wales,2021-04-04,2021-04-17,13
30,7,Shirt,Oxford Cloth,M,orange,77,502,96,2,192,Gayleen Brookes,Male,46,Port Lily,Australian Capital Territory,2021-02-18,2021-03-07,17
31,7,Shirt,Oxford Cloth,M,orange,77,812,96,3,288,Martin O'Mailey,Female,44,New Angelina,Queensland,2021-07-09,2021-07-13,4
32,8,Shirt,Oxford Cloth,L,orange,48,24,96,1,96,Faber Purcell,Female,78,Andrewborough,New South Wales,2021-09-04,2021-09-20,16
33,8,Shirt,Oxford Cloth,L,orange,48,142,96,3,288,Cassaundra Sliman,Agender,71,Lake Mollyburgh,New South Wales,2021-06-15,2021-07-12,27
34,8,Shirt,Oxford Cloth,L,orange,48,164,96,1,96,Chandal Fransinelli,Polygender,21,Hackettchester,South Australia,2021-05-21,2021-06-03,13
35,8,Shirt,Oxford Cloth,L,orange,48,328,96,1,96,Lucias Forsythe,Bigender,40,West Kiara,Tasmania,2021-04-14,2021-05-08,24
36,8,Shirt,Oxford Cloth,L,orange,48,358,96,2,192,Perry McAless,Polygender,26,New Leah,Queensland,2021-04-07,2021-04-12,5
37,9,Shirt,Oxford Cloth,XL,orange,43,103,96,2,192,Lauryn Deport,Female,29,Bayermouth,South Australia,2021-06-16,2021-06-24,8
38,9,Shirt,Oxford Cloth,XL,orange,43,192,96,3,288,Millicent Stedson,Polygender,70,Port Kiara,Western Australia,2021-02-06,2021-02-19,13
39,9,Shirt,Oxford Cloth,XL,orange,43,240,96,1,96,Riordan Goreway,Genderfluid,75,East Marcus,New South Wales,2021-01-27,2021-02-01,5
40,9,Shirt,Oxford Cloth,XL,orange,43,588,96,2,192,Leann Kittow,Female,35,Angelinastad,South Australia,2021-05-26,2021-06-20,25
41,9,Shirt,Oxford Cloth,XL,orange,43,728,96,3,288,Ellyn Collacombe,Male,73,Adamsside,Tasmania,2021-08-29,2021-08-30,1
42,10,Shirt,Oxford Cloth,XS,yellow,72,614,96,2,192,Gorden Seago,Genderfluid,80,Port Aaronton,Queensland,2021-04-18,2021-05-03,15
43,11,Shirt,Oxford Cloth,S,yellow,78,120,96,2,192,Alicea Momford,Non-binary,23,West Bella,South Australia,2021-06-09,2021-06-14,5
44,11,Shirt,Oxford Cloth,S,yellow,78,795,96,3,288,Tomaso Mullin,Genderqueer,25,New Ava,Queensland,2021-06-07,2021-06-30,23
45,11,Shirt,Oxford Cloth,S,yellow,78,814,96,3,288,Dannie Fidler,Genderfluid,32,East Max,Tasmania,2021-03-04,2021-03-28,24
46,12,Shirt,Oxford Cloth,M,yellow,56,4,96,2,192,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,2021-05-06,2021-05-19,13
47,12,Shirt,Oxford Cloth,M,yellow,56,749,96,3,288,Hetti Fibbens,Genderqueer,45,Beattychester,Queensland,2021-09-20,2021-09-24,4
48,13,Shirt,Oxford Cloth,L,yellow,75,223,96,1,96,Orran Skip,Male,25,Port Eveland,South Australia,2021-03-23,2021-03-30,7
49,13,Shirt,Oxford Cloth,L,yellow,75,264,96,2,192,Nara Legerwood,Male,24,Abbottburgh,Northern Territory,2021-06-13,2021-06-18,5
50,13,Shirt,Oxford Cloth,L,yellow,75,461,96,1,96,Faunie Cooney,Male,38,Port Chelseaport,Victoria,2021-02-14,2021-02-19,5
51,14,Shirt,Oxford Cloth,XL,yellow,50,52,96,2,192,Andrew Renn,Bigender,63,Port Natalie,Victoria,2021-10-06,2021-10-29,23
52,14,Shirt,Oxford Cloth,XL,yellow,50,447,96,2,192,Wilhelm Blaber,Genderfluid,69,Lake Callumville,Queensland,2021-01-10,2021-01-23,13
53,15,Shirt,Oxford Cloth,XS,green,68,279,96,2,192,Phillipe Gatecliffe,Male,35,Jettstad,Australian Capital Territory,2021-07-25,2021-07-28,3
54,15,Shirt,Oxford Cloth,XS,green,68,346,96,3,288,Kristel Klaaassen,Female,57,East Matthewville,New South Wales,2021-03-23,2021-04-06,14
55,15,Shirt,Oxford Cloth,XS,green,68,388,96,2,192,Sol Adhams,Male,55,Sebastianbury,South Australia,2021-02-12,2021-02-17,5
56,15,Shirt,Oxford Cloth,XS,green,68,456,96,3,288,Devonne Martinetto,Genderfluid,59,West Lucy,New South Wales,2021-06-28,2021-07-20,22
57,15,Shirt,Oxford Cloth,XS,green,68,456,96,2,192,Devonne Martinetto,Genderfluid,59,West Lucy,New South Wales,2021-06-28,2021-07-20,22
58,16,Shirt,Oxford Cloth,S,green,56,508,96,2,192,Glenn Keri,Non-binary,61,Port Ellaside,New South Wales,2021-07-17,2021-08-01,15
59,16,Shirt,Oxford Cloth,S,green,56,681,96,1,96,Iago Jedrzaszkiewicz,Agender,58,Lake Mikaylashire,Australian Capital Territory,2021-10-10,2021-10-19,9
60,17,Shirt,Oxford Cloth,M,green,60,16,96,2,192,Shoshana Redsell,Bigender,34,North Marcusland,Northern Territory,2021-07-07,2021-07-08,1
61,17,Shirt,Oxford Cloth,M,green,60,146,96,3,288,Chancey Iacovozzo,Agender,60,West John,Tasmania,2021-08-30,2021-09-26,27
62,17,Shirt,Oxford Cloth,M,green,60,236,96,2,192,Zaria Garken,Female,40,Towneport,Northern Territory,2021-07-15,2021-08-08,24
63,17,Shirt,Oxford Cloth,M,green,60,237,96,2,192,Marget Kells,Non-binary,39,Baumbachtown,Victoria,2021-03-16,2021-04-06,21
64,17,Shirt,Oxford Cloth,M,green,60,499,96,2,192,Arlie Bowman,Genderqueer,34,Port Annabelle,Northern Territory,2021-10-24,2021-10-26,2
65,17,Shirt,Oxford Cloth,M,green,60,543,96,1,96,Sigmund Bothen,Male,21,West Grace,Australian Capital Territory,2021-07-28,2021-08-09,12
66,17,Shirt,Oxford Cloth,M,green,60,799,96,1,96,Beckie Nasey,Genderfluid,61,Evastad,South Australia,2021-03-11,2021-04-04,24
67,18,Shirt,Oxford Cloth,L,green,52,353,96,2,192,Ellynn Korba,Genderqueer,34,West Jonathanshire,Tasmania,2021-03-30,2021-04-05,6
68,18,Shirt,Oxford Cloth,L,green,52,464,96,3,288,Monica Teodorski,Bigender,77,South Nathan,South Australia,2021-06-29,2021-07-25,26
